power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230000,1000,0.3,[1060.71113712],25.977462430243957,7.918631777605839,60,161437.76632799188,225993.75911961065,541250.0877501207,22174.557705107796,48152.54348093115,181.26253587085463,145.3096361939907
130000,1000,0.3,[1478.16431179],36.70384721396954,10.94931083235363,60,149823.78609585058,239938.18323512076,555441.7422998317,29089.17119887196,63228.61906022234,183.98902720588094,148.39874905897486
80000,1000,0.3,[1696.90128081],43.090014459595714,12.577466560733356,60,143829.91552043305,248073.88162056817,561844.9601393493,32655.63676425648,71019.5608538366,185.21723186285305,150.6024096385542
40000,1000,0.3,[1848.41820662],48.504603681116194,14.271186843520951,60,139019.55254520196,254834.19326679877,566749.0524527064,35544.56434349591,77286.89608797386,186.21973929236498,152.38931202321194
35000,1000,0.3,[1872.01590344],49.46048253104428,14.519585840288443,60,138480.88113762348,255995.84542990205,567124.7977273364,35965.9484961218,78200.40684465974,186.23183912791188,152.62093630187988
31000,1000,0.3,[1897.74806015],50.28783015810279,14.852528735222883,60,137430.8614917882,257011.42936658586,568371.8728566654,36476.97696740401,79309.18641605854,186.58838040485776,152.9616350260266
230000,2000,0.3,[612.79754437],21.58273381294964,6.1773224725707,60,167721.2048045606,218136.58842656753,532996.9781719317,18104.639535105536,39213.20914988115,179.85611510791367,144.2777636444585
130000,2000,0.3,[883.96283823],31.62705667276049,9.347020570928501,60,155504.90542896217,231549.51311424765,548190.9711118983,25026.17230692651,54209.15874591432,182.81535648994515,147.82677151579296
80000,2000,0.3,[1043.89908333],37.470475227833816,10.949399784044955,60,150240.0539050616,238759.0297844234,554308.9658478206,28420.392089561214,61578.997325191194,183.7840577912217,149.3967891164491
40000,2000,0.3,[1185.62238766],42.73252249138805,12.400219328606756,60,145800.39334659436,245375.0678832182,558909.2282617438,31271.101954461432,67771.95877621931,184.50184501845018,151.05740181268882
35000,2000,0.3,[1203.77690315],43.39795499888402,12.593772275164797,60,145084.5207805299,245901.61529233927,559956.0159746488,31630.538446325718,68554.7504099031,184.7911791222732,151.12889904597938
31000,2000,0.3,[1218.62834235],43.99611721892812,12.766270888836756,60,144556.4217093759,246802.3119064769,560357.1695018923,31956.551568547307,69262.19299555712,184.84288354898334,151.44224319444163
230000,5000,0.3,[236.28185326],12.990676108197292,3.735502717268133,60,178531.4947168851,204949.0599079922,518076.76775088557,10847.54843859935,23418.07099753706,177.93807261133432,142.0752792426248
130000,5000,0.3,[377.17743761],21.071238678022084,5.990463786880834,60,169896.25171207872,215922.9035003019,528907.4908007138,16429.681797244677,35480.27425265216,179.09946550003266,145.05191086070354
80000,5000,0.3,[442.25162988],26.032315978455983,7.385133948989895,60,165283.16754399435,222642.05408133374,533778.8951919585,19393.59261882617,41875.242165411095,179.5332136445242,147.23127950769975
40000,5000,0.3,[503.94895879],30.69629227753046,8.548599893959391,60,161186.55327021208,228563.15312518194,537940.5725102553,21931.206066910756,47358.31012347234,180.02244115362325,149.19668068211243
35000,5000,0.3,[513.64484362],31.315000728922417,8.75533680013516,60,160699.61034494822,229162.05203676358,538619.6039645951,22267.452987289667,48083.423376372644,180.13031650057945,149.24377389074067
31000,5000,0.3,[522.09205635],31.862762898194234,8.860736977438895,60,160304.8036540246,229865.99109730998,538965.764567076,22544.195200565948,48682.97133946613,180.14038647294294,149.4629591303393
230000,10000,0.3,[57.68094364],5.474498030289126,1.6043273408711958,60,187496.78810999825,193324.4251426798,505457.69113958895,4379.24747016145,9429.113009559282,176.9706342790086,139.86013986013987
130000,10000,0.3,[128.33568776],12.765957446808528,3.609936561705712,60,180551.69576825568,203128.31118092197,514383.34848182264,9397.472262295281,20237.7286358125,177.3049645390071,142.45014245014247
80000,10000,0.3,[155.45006479],17.075184997960108,4.867565166492444,60,177505.73015796242,208608.38572317408,517713.42998074414,11856.770443334199,25527.631768373187,177.11828290160378,143.9234239909953
40000,10000,0.3,[189.70555631],21.179900531641223,6.139130892319441,60,173031.87893505956,213021.56101175607,523321.3464996941,14219.66168118697,30615.962655834493,178.25311942959,145.2529063573481
35000,10000,0.3,[194.5617659],21.746880570409985,6.300876642225998,60,172489.30674778647,213917.8608740444,523743.33951033035,14550.03524355553,31327.47716064301,178.25311942959,145.65826330532215
31000,10000,0.3,[198.17333271],22.16636231177076,6.417112299465245,60,172079.61141973842,214596.19692723278,524046.97545052634,14793.721572828777,31852.359653333904,178.25311942959,145.97668084949913
230000,20000,0.3,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
130000,20000,0.3,[25.26079259],4.366914875870124,1.288427943983597,60,189401.8060452025,191300.4000408132,502424.68035164266,3042.9292404402436,6541.912119287674,176.67844522968198,139.52289237022097
80000,20000,0.3,[48.41215319],8.424560172792567,2.506045893407645,60,186241.79066096546,196950.28303875212,506082.0222252654,5667.327100115559,12184.402231724025,176.30009784193913,141.22468570584653
40000,20000,0.3,[66.10707955],12.215395118620911,3.6070948993564405,60,183281.70145929023,201498.0947896773,509488.6628951506,7799.811028620123,16768.871528238546,176.36684303350972,142.51578767707798
35000,20000,0.3,[69.08745547],12.767425810904086,3.7649070270158083,60,182910.33121634496,202118.0054816771,509962.4945283619,8108.090683816043,17431.856316309582,176.36684303350972,142.6270991488383
31000,20000,0.3,[71.91297047],13.255463385890009,3.882099163826751,60,182539.4332141279,202614.22477687857,510461.3965846634,8374.295699898392,18004.639963441525,176.41037910574772,142.71601984491258
230000,30000,0.3,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
