power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,costfrac
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,1000,0.6,[6894.02403259],162.6264097283032,61.04920089943508,100,34788.48928732293,467852.8290107665,481016.5551915763,148197.56012268932,236174.24641140466,157.48031496062993,271.3274091492633,0.923076923076923,0.097
700000,1000,0.6,[6516.59497814],138.37296724506902,50.77186963979417,100,43861.40421258572,404475.7871508632,519381.2547198555,124884.2725145291,199940.97101338475,171.52658662092625,239.05619993914698,0.923076923076923,0.097
900000,1000,0.6,[6035.4729085],114.15725525326995,42.90909090909092,100,52569.221535534845,358060.3854535841,545341.458843854,108153.53857502119,173653.4809919946,181.8181818181818,215.65147205307667,0.923076923076923,0.097
1100000,1000,0.6,[5661.28191713],100.2761344013355,38.34360861008364,100,58916.026704343145,333116.928003293,557369.0545555999,99031.94177979235,159169.80096279547,186.8375496664132,203.1695033085822,0.923076923076923,0.097
1300000,1000,0.6,[5241.77749362],85.26636023824142,33.78101932898622,100,66233.17543242364,306421.5962187712,569809.8685751373,89456.52138513273,143927.22610289062,192.1533482292242,190.26762327232245,0.923076923076923,0.097
1500000,1000,0.6,[4824.24737944],73.21118543113575,28.828094068023685,100,75521.9104205558,280207.28899300256,579650.7476341741,79650.26007099383,128335.57580190126,196.60747495021081,176.47612445663876,0.923076923076923,0.097
1700000,1000,0.6,[4470.73010199],62.36653421075758,25.215414045784076,100,82620.8101129979,261732.42745306267,585515.5216093628,72025.34270249117,116209.94019499802,199.95878597383938,168.04773132679162,0.923076923076923,0.097
1900000,1000,0.6,[4119.83666575],53.758682398446226,22.41718770483628,100,88866.21067964488,251352.91583298886,585254.7423669383,66102.3833337639,106685.77127384847,200.99174169731535,164.31260757745991,0.923076923076923,0.097
2100000,1000,0.6,[3836.71381172],47.02201381119275,20.118713266270795,100,94235.26463683993,242211.54739245787,585169.1342688584,60854.564271053685,98280.47129465529,202.23110565501065,160.85605689887072,0.923076923076923,0.097
2300000,1000,0.6,[2832.01102655],41.21314672223528,17.163175940231703,100,98756.31127128068,232674.02513803053,584195.8440289684,53460.103627159086,85925.8006757896,205.550431910095,160.62881434033923,0.923076923076923,0.097
2500000,1000,0.6,[2493.50333677],34.60482899192912,14.937064962339662,100,104911.94974215605,225380.63524329267,580996.5552669478,47666.03389361399,76574.00690400976,205.9635230936086,158.7203809755575,0.923076923076923,0.097
2700000,1000,0.6,[2126.20539894],28.60996613738629,12.69313907338625,100,111140.03629590955,217652.43978251517,577874.1611529038,41483.49329452505,66600.12048540325,206.88829603462975,156.5548318716083,0.923076923076923,0.097
2600000,1000,0.6,[2315.92084607],31.41941956403721,13.846946001350261,100,107699.23271862537,221590.15429505197,579731.1878757012,44625.74664163957,71673.52756709365,206.60204795839266,157.93366714602308,0.923076923076923,0.097
2700000,1000,0.6,[2126.20539894],28.60996613738629,12.69313907338625,100,111140.03629590955,217652.43978251517,577874.1611529038,41483.49329452505,66600.12048540325,206.88829603462975,156.5548318716083,0.923076923076923,0.097
2650000,1000,0.6,[2219.08094844],29.98450699617036,13.24101297362994,100,109573.15706566311,219506.02285751654,578729.6674392155,43007.964394783754,69061.67239124216,206.68708394810568,157.09885211378196,0.923076923076923,0.097
2610000,1000,0.6,[2293.38531115],31.146296218995644,13.72465114748558,100,108109.18545044123,221302.53418302003,579367.9208585024,44311.335433609944,71160.90085437562,206.529600344875,157.85164277040175,0.923076923076923,0.097
2620000,1000,0.6,[2280.20032868],30.83799651875613,13.611632281577542,100,108407.4945342994,220740.4051790078,579401.3502385698,43992.62475154078,70654.03818777019,206.6707361684748,157.59020114515545,0.923076923076923,0.097
2630000,1000,0.6,[2258.0517847],30.684175146431894,13.496572849360248,100,108917.86866701387,220556.87589243523,578871.4807902406,43735.58001765933,70229.35880062974,206.45209343828103,157.43313884375002,0.923076923076923,0.097
2625000,1000,0.6,[2277.8709575],30.814041039025483,13.596757974731897,100,108467.65149821063,220696.01377343124,579358.798814698,43957.4354492028,70596.8303405009,206.6572528262646,157.55673260588895,0.923076923076923,0.097
2630000,1000,0.6,[2258.0517847],30.684175146431905,13.496572849360248,100,108917.86866701387,220556.87589243514,578871.4807902406,43735.580017659326,70229.35880062972,206.45209343828105,157.43313884374993,0.923076923076923,0.097
2626000,1000,0.6,[2273.46202285],30.785123966942137,13.573693727889376,100,108572.17816992098,220658.9587828314,579250.9964452556,43906.42059973042,70512.51138252782,206.61157024793388,157.52190393338716,0.923076923076923,0.097
2627000,1000,0.6,[2260.70364429],30.70161546243679,13.510447266869672,100,108855.00819404892,220578.86234691093,578936.5102385052,43766.114017633365,70279.8413511677,206.4796452803109,157.4537734042397,0.923076923076923,0.097
500000,2000,0.6,[3991.62404822],155.0747198597886,61.236802413273,100,42230.36919814507,476321.81394382817,462267.99680122035,150353.25327143935,235544.70758273816,150.82956259426848,273.73613230582805,0.923076923076923,0.097
700000,2000,0.6,[3846.83331387],124.23724791309574,50.724869360629114,100,51910.25439160223,400729.8556807994,509359.08249561413,122381.9475796046,192351.82167472655,167.6024851679282,235.3781754960386,0.923076923076923,0.097
900000,2000,0.6,[3804.34889309],107.3885602061942,42.96587817802851,100,59012.730072613114,357203.89145298925,535428.3284347316,106732.45132673375,168348.37041883174,177.61989342806396,214.36341780114392,0.923076923076923,0.097
