power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.5,[1219.30708039],45.66475873289099,20.7482563802609,20,124763.81025348647,265827.3085321532,543713.0866769592,52600.800463212734,79217.86137557977
700000,5000,0.5,[921.94986614],32.373432429965135,14.463362207950484,20,140573.026843644,240499.7755938011,539595.3996272561,40220.0411429602,60634.45943404391
900000,5000,0.5,[631.11849926],21.979491234498095,9.838998211091237,20,156094.37054937158,223365.8338578336,528785.8482204564,29229.70508835103,43911.255511437535
800000,5000,0.5,[772.41989799],26.978417266187037,11.998319543017402,20,148564.98520447718,230861.82580888065,534855.7496453826,34563.66998839137,52033.02189080842
900000,5000,0.5,[631.11849926],21.979491234498095,9.838998211091237,20,156094.37054937158,223365.8338578336,528785.8482204564,29229.70508835103,43911.255511437535
850000,5000,0.5,[708.05057053],24.55972213696163,11.02876990217029,20,151704.68244835045,227012.05443356273,532801.9895398079,32124.196915546203,48316.37381233376
900000,5000,0.5,[631.11849926],21.979491234498095,9.838998211091237,20,156094.37054937158,223365.8338578336,528785.8482204564,29229.70508835103,43911.255511437535
860000,5000,0.5,[690.75601521],23.97863227895152,10.780701240812505,20,152613.61969244116,226371.85013865604,531836.6829772965,31515.464143758123,47384.01210867989
870000,5000,0.5,[678.90402164],23.515695529004148,10.594743643249885,20,153224.40165273045,225545.50114494952,531507.5951515496,31030.934581991365,46648.8803794435
880000,5000,0.5,[661.59573017],22.971010519690637,10.310571305765762,20,154337.51741693422,224748.83941513934,530446.7868231613,30370.145770693118,45645.206732805695
890000,5000,0.5,[644.40974988],22.37617921674486,10.054404148161169,20,155218.06254824472,223816.22005475167,529764.2500262529,29719.546160653546,44655.77056421629
900000,5000,0.5,[631.11849926],21.979491234498095,9.838998211091237,20,156094.37054937158,223365.8338578336,528785.8482204564,29229.70508835103,43911.255511437535
895000,5000,0.5,[636.35292771],22.122301400438502,9.930326093224977,20,155682.52607068792,223482.3022937795,529299.3844225431,29423.512793602797,44205.51827186669
891000,5000,0.5,[643.36087036],22.34877283028051,10.034162785325238,20,155314.03544341403,223787.5943570109,529650.8153517639,29678.283943502196,44593.377925493514
892000,5000,0.5,[639.76083118],22.254706674584995,9.964688935115307,20,155643.54861995915,223689.09697049588,529261.533755001,29536.570699162545,44379.10717472761
500000,10000,0.5,[634.73616674],36.81475211936004,16.439178423734212,20,140424.22275907788,251074.31242946454,529142.1792334795,41566.05053030943,61576.26068023674
700000,10000,0.5,[447.05556279],23.72236220590692,10.609683194742736,20,156463.70112365772,227698.7079577807,523390.5543172938,29367.657451997613,43514.729179092756
900000,10000,0.5,[275.86859985],14.718496186858346,6.380321225329583,20,170027.36923608347,211751.28415454575,514769.9664603468,19159.030558704362,28362.607435486
800000,10000,0.5,[346.66613467],19.20626709840179,8.149128036694847,20,163183.07993742652,219765.1093108375,518811.04741754715,23980.099864305383,35528.09752151182
750000,10000,0.5,[402.58826176],21.264545051988325,9.420465616491796,20,159562.4470379387,223463.44130840802,521712.10447690747,26741.0527058035,39627.88966361264
710000,10000,0.5,[441.16973642],23.369873371501967,10.437365959856521,20,157116.8089715086,227205.23632844156,522829.14839273243,28996.65773256682,42962.75101803531
720000,10000,0.5,[432.44426048],22.723547174971316,10.153489088067966,20,157496.57860186874,225983.66813393822,523028.5668893873,28383.819203011597,42066.16630586134
730000,10000,0.5,[421.12068461],22.379014993284386,9.900667222335532,20,158036.16763651534,225241.9942254485,522686.1527478323,27875.388974865204,41314.07398904378
725000,10000,0.5,[427.28273433],22.60943996087062,10.03492602103205,20,157768.95762941494,225683.30034236098,522821.4141644315,28163.150618322867,41740.587681807396
730000,10000,0.5,[421.12068461],22.379014993284386,9.900667222335532,20,158036.16763651534,225241.9942254485,522686.1527478323,27875.388974865204,41314.07398904378
726000,10000,0.5,[425.94100055],22.598740523355332,10.010470163854237,20,157810.33814014957,225650.9272290554,522767.8852131021,28121.77010758822,41679.229064210995
727000,10000,0.5,[422.64960021],22.517730496453908,9.936350761134909,20,158021.60564404904,225401.3113668904,522644.50715314504,27970.945895530705,41455.978614010775
500000,20000,0.5,[234.00014094],26.682564108325586,10.657713726737802,20,157636.01717278044,231394.65408023732,515567.4283132952,27339.6309431331,39955.52179246149
700000,20000,0.5,[149.77955417],16.373239436619727,6.5617404580952705,20,171071.3423287862,213495.12986675987,510162.2386980662,17921.369800633613,26178.629067318485
600000,20000,0.5,[184.3997996],20.924545851598197,8.415709942069684,20,164854.31257496262,221289.73623372745,513017.8453104443,22170.697263938706,32380.42241648084
550000,20000,0.5,[203.79700006],23.618443749241756,9.518058936977212,20,161421.2896364872,225836.048317889,514386.5650570991,24550.208851968102,35852.937045316714
510000,20000,0.5,[227.55146995],25.918302435302365,10.411067735106968,20,158381.22914923317,230119.42551383644,515444.365656173,26722.51784535586,39048.24154614174
520000,20000,0.5,[217.96195949],25.391819682223225,10.1405875546848,20,159335.12384811454,229253.35524393572,514687.3961474271,26101.858937795278,38126.95298376618
530000,20000,0.5,[209.62381372],24.767606547033484,9.859747169819409,20,160252.24612992158,227797.66060700614,514489.219473245,25407.94970445743,37105.0542247358
525000,20000,0.5,[211.93757155],25.083369935348458,9.975208398643565,20,159884.0902883288,228589.847502318,514375.3545791659,25705.10374883573,37538.85437046319
521000,20000,0.5,[218.08079875],25.325348370890584,10.121813277838626,20,159398.48287098238,229062.99499151504,514765.2959619237,26052.77526660804,38056.820779306574
522000,20000,0.5,[215.63928016],25.270652695167293,10.070120499900053,20,159584.64605788875,228974.82808666135,514542.01884048537,25939.02561466735,37886.08471407343
523000,20000,0.5,[214.31153827],25.21437263118775,10.033837137148712,20,159713.76723873473,228853.25539938326,514445.10513419006,25856.157339675858,37763.0607942742
524000,20000,0.5,[213.83899162],25.17848990475036,10.016041856488425,20,159776.36929247004,228764.74787948775,514426.5538706097,25814.14936107444,37701.300288315644
525000,20000,0.5,[211.93757155],25.083369935348486,9.975208398643545,20,159884.09028832876,228589.84750231798,514375.35457916587,25705.10374883567,37538.854370463094
500000,30000,0.5,[129.08479701],20.802063046879407,8.260105448154647,20,167346.81502295402,220187.05403262004,509411.8104720694,20242.782555073765,29420.330059083775
400000,30000,0.5,[165.0825049],27.53867761869286,10.818977274903474,20,160272.7083772548,231869.60591047426,510411.69956607634,25652.928458327897,37290.67308009519
500000,30000,0.5,[129.08479701],20.802063046879407,8.260105448154647,20,167346.81502295402,220187.05403262004,509411.8104720694,20242.782555073765,29420.330059083775
450000,30000,0.5,[146.47510488],23.876016723807624,9.461721487981947,20,164006.45804569835,225585.70056240348,510016.45247680525,22811.471501786164,33157.201847638054
410000,30000,0.5,[159.96377018],26.460869214186683,10.466283474078438,20,161445.45834680577,229982.56531318044,510281.55940308736,24839.993911850434,36106.840696374304
420000,30000,0.5,[156.98617211],25.804717281341293,10.259763587840865,20,162003.86619744095,229116.02329354803,510137.35621466924,24404.80343972669,35472.89224670348
430000,30000,0.5,[152.47953531],25.02240013269393,9.962638502006682,20,162452.89882504675,227686.0216443015,510486.8876530641,23795.20735494933,34586.43962668685
