power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.4,[877.51866561],32.48754743833017,13.99144868241745,60,142115.06752328447,239391.73094654127,548187.5415052415,34701.85758345181,60818.43282872298,183.8235294117647,153.28510436432637
700000,5000,0.4,[550.21233267],19.616571399666128,7.833593362232246,60,161471.2180467477,219160.28957031868,530077.1221901001,22425.31861840147,39309.3515392422,180.41715143237727,146.69431938894226
900000,5000,0.4,[257.41520047],9.161487831338306,3.55615742232615,60,178039.7406558926,201885.18056172345,513402.8549780307,11213.080390604373,19636.706296286167,178.08277675604617,141.98377862144085
1100000,5000,0.4,[18.17933584],0.6336122197363068,0.24759279094440434,60,192646.4190622032,187159.52642524775,497476.68455786235,831.6483281765759,1454.6677435326521,176.24100213614065,138.73770126433325
1000000,5000,0.4,[133.47803604],4.7872340425531945,1.872263128676132,60,185354.91785270174,194130.7655909392,505872.7541432945,6066.2798254598965,10612.528205489409,177.3049645390071,139.92295151760587
950000,5000,0.4,[191.29562799],6.779295805472387,2.649465413932223,60,181723.03792111232,197436.99426389526,509920.9946170274,8471.25216295434,14828.41871869386,177.9359430604982,140.67191275551824
910000,5000,0.4,[240.13506503],8.538751230895599,3.316817285460256,60,179105.61743676357,200821.7847310609,512299.97781344765,10503.127442723711,18391.148207113096,177.93237906704198,141.68689444227417
920000,5000,0.4,[228.62934204],8.115502896241548,3.1592476461409973,60,179661.70852552375,199921.30792180615,511899.45739396627,10022.185692098983,17547.739218356794,178.01608888577022,141.37743077057812
930000,5000,0.4,[219.09358823],7.7537348670996185,3.0346343057890977,60,179881.25482128267,199139.9486716807,511847.1818346316,9625.607854871167,16852.379629664774,178.24515752612297,141.19499011578645
940000,5000,0.4,[203.00847936],7.195109300691925,2.806703014056561,60,181115.53660350642,198205.36747366714,510509.38541929156,8955.134333646958,15676.848178545919,177.9418054514183,140.87059598237283
950000,5000,0.4,[191.29562799],6.779295805472387,2.649465413932223,60,181723.03792111232,197436.99426389526,509920.9946170274,8471.25216295434,14828.41871869386,177.9359430604982,140.67191275551824
945000,5000,0.4,[195.83718759],6.939501779359432,2.709883891481368,60,181496.2775430042,197728.39438887895,510145.42902594735,8657.928581209184,15155.745064512648,177.9359430604982,140.74029394615678
941000,5000,0.4,[200.84801648],7.117437722419908,2.776716952572293,60,181257.6213142808,198037.7914397521,510392.45524696825,8863.15206067282,15515.573483035234,177.9359430604982,140.79739748116037
942000,5000,0.4,[198.67659372],7.038969076722424,2.7467850221937757,60,181390.68208417998,197868.99240261313,510285.273863315,8770.844333597433,15353.732126940926,177.9359430604982,140.7278058987791
943000,5000,0.4,[196.79243191],6.972997056636352,2.722338661752428,60,181460.21944490587,197776.34511676044,510192.5146449683,8696.020624895466,15222.531456083263,177.9359430604982,140.73682413874485
500000,10000,0.4,[380.96640847],23.15076168390279,9.665400287503246,60,158730.2675117869,224292.79952431982,529418.3037132288,23794.642801935242,41443.63722899685,180.30858226047258,149.72369453976194
700000,10000,0.4,[185.8917096],11.010864730923174,4.40963412176866,60,176676.87572354902,204470.06990969228,513599.4688184667,12249.819110938553,21326.05701308868,177.90202681237687,142.95698583137434
900000,10000,0.4,[53.71377622],2.903283934354466,1.1472496276497737,60,188911.4052666202,190697.0093831232,501759.7075505375,3507.1690885355624,6106.386043663192,176.8385516500004,139.23709119389505
800000,10000,0.4,[115.74635278],6.749555950266426,2.7064120838539454,60,182663.54910987098,197127.20099414664,508164.75044194324,7816.018388277722,13603.218570886684,177.61989342806396,140.85309333070958
750000,10000,0.4,[155.29854352],9.236234458259347,3.6867992473633713,60,179305.59700664572,201578.5529883523,511054.69107082154,10418.271432136607,18134.24468801217,177.61989342806396,142.1603865730966
800000,10000,0.4,[115.74635278],6.749555950266426,2.7064120838539454,60,182663.54910987098,197127.20099414664,508164.75044194324,7816.018388277722,13603.218570886684,177.61989342806396,140.85309333070958
760000,10000,0.4,[145.94090755],8.682193579231836,3.4653090520168477,60,180031.47481156272,200685.83870545143,510339.4722085446,9842.554236947182,17131.26669262783,177.5852836261958,141.97262244140012
770000,10000,0.4,[137.52356127],8.182890131281297,3.263372745223321,60,180748.02837716282,199631.68260716324,509856.5295740736,9306.747158390614,16198.067977903283,177.64021368026485,141.54015584475604
780000,10000,0.4,[128.46276926],7.637655417406748,3.046225097725672,60,181440.43945932275,198748.65383371158,509170.25315016974,8734.051612649244,15200.719971338385,177.61989342806396,141.37658184071753
775000,10000,0.4,[133.8737514],7.964807811943852,3.1803539375077166,60,180920.13155250295,199217.54320859155,509753.46505294443,9081.416287789523,15805.59909557414,177.7239423456827,141.4528659706013
780000,10000,0.4,[128.46276926],7.637655417406748,3.046225097725672,60,181440.43945932275,198748.65383371158,509170.25315016974,8734.051612649244,15200.719971338385,177.61989342806396,141.37658184071753
776000,10000,0.4,[132.94036267],7.910131662741989,3.158403714930756,60,180988.6238341834,199129.1350484564,509684.8584997564,9023.613840021602,15704.924517985984,177.72248633758386,141.43747871032718
777000,10000,0.4,[131.19222372],7.811316492629525,3.114863113988946,60,181199.2684311408,199019.16048883286,509417.6919690799,8914.890037559124,15515.567197921937,177.6442930600088,141.4285848087592
778000,10000,0.4,[130.39762116],7.764835171696802,3.0964722269460947,60,181247.68926766395,198953.11624853613,509361.158487801,8866.469201035967,15431.231161623502,177.6442930600088,141.4285848087592
779000,10000,0.4,[128.71654443],7.653641177377807,3.053613521911357,60,181391.4021702063,198756.7450497497,509238.1402382677,8751.66162822515,15231.37201222425,177.64627256993037,141.3744452124044
500000,20000,0.4,[122.75245155],14.05461721280031,5.9905820212707015,60,175638.78966298926,208816.0882724415,511860.02269127907,13379.097143431161,23182.175214695886,177.10344287701912,144.59325390914296
700000,20000,0.4,[39.96878467],4.182954854332948,1.7257807843957513,60,187851.9852687904,192712.19901101952,502100.9496834068,4388.897135024865,7605.404603404511,176.67844522968198,139.86013986013987
600000,20000,0.4,[81.25092751],8.805025520828707,3.7562050677547534,60,181508.76249544814,200801.85690223222,507212.6345268781,8906.495172379911,15432.136522774934,176.91874068427433,142.4743840908758
700000,20000,0.4,[39.96878467],4.182954854332948,1.7257807843957513,60,187851.9852687904,192712.19901101952,502100.9496834068,4388.897135024865,7605.404603404511,176.67844522968198,139.86013986013987
650000,20000,0.4,[59.27487063],6.224689086215108,2.6273683376361308,60,184662.78510624095,196193.49406120487,504954.7843493216,6460.55193044185,11195.211767290983,177.0411484770252,140.98223155903995
610000,20000,0.4,[79.03161074],8.433270185048613,3.6119900594510006,60,181643.65760409526,200007.9022714977,507401.2228319021,8595.821231871636,14894.692315813405,177.18384180247975,142.20425639274234
605000,20000,0.4,[80.2876201],8.669201339432055,3.703571289620868,60,181530.26335855643,200545.57496262726,507273.78623920865,8791.98763435359,15233.892307350834,177.0154939529028,142.4262595023356
610000,20000,0.4,[79.03161074],8.433270185048613,3.6119900594510006,60,181643.65760409526,200007.9022714977,507401.2228319021,8595.821231871636,14894.692315813405,177.18384180247975,142.20425639274234
606000,20000,0.4,[79.93913653],8.5933108296251,3.672719457268034,60,181579.36717725432,200352.17695837957,507321.7677320167,8728.256596763738,15123.77887338342,177.07220688002195,142.32808621390373
500000,30000,0.4,[55.73664686],8.92087797460547,3.886925795052988,60,182513.78737815894,200362.73982933955,505524.6808675924,8190.877643884838,14167.785681886886,176.67844522968198,142.49143957378377
400000,30000,0.4,[90.15289325],15.127179277516547,6.796599983930471,60,176115.31844041473,209830.22586855417,509826.95328117145,13059.123781353212,22588.842214829096,176.67844522968198,145.28516777151532
500000,30000,0.4,[55.73664686],8.92087797460547,3.886925795052988,60,182513.78737815894,200362.73982933955,505524.6808675924,8190.877643884838,14167.785681886886,176.67844522968198,142.49143957378377
450000,30000,0.4,[70.35714331],11.392251392815284,4.946996466431088,60,179926.6208363022,204121.75355728826,507376.0577961895,10186.30981740802,17620.72617916363,176.67844522968198,143.5512367491166
500000,30000,0.4,[55.73664686],8.92087797460547,3.886925795052988,60,182513.78737815894,200362.73982933955,505524.6808675924,8190.877643884838,14167.785681886886,176.67844522968198,142.49143957378377
460000,30000,0.4,[65.9851405],10.673963630095676,4.649406086661145,60,180524.69108071932,203213.12557233655,506846.17329967883,9631.910660209709,16661.046125206954,176.67844522968198,143.47202295552367
470000,30000,0.4,[63.26460848],10.217178974497983,4.43274661237194,60,181066.38275685717,202441.5965237952,506497.7240804387,9249.997201517237,16000.408406883782,176.67844522968198,143.1836893323038
480000,30000,0.4,[60.64658701],9.730627711054197,4.247937958268859,60,181587.30254177438,201681.33257038656,506164.9628887886,8872.450935639668,15347.028225123162,176.67844522968198,142.92682019118303
490000,30000,0.4,[57.67430302],9.212355100930152,4.0274170888500995,60,182184.92165931777,200827.85556599632,505776.4007382938,8447.00392286963,14610.937317142598,176.67844522968198,142.6199497637192
485000,30000,0.4,[59.57474159],9.540636042402824,4.180650554387691,60,181849.0603384098,201315.62584953202,506034.72466934845,8717.979993014591,15079.623332527213,176.67844522968198,142.73529565353618
481000,30000,0.4,[60.43021179],9.69172657487512,4.233261684051793,60,181654.69864381518,201589.89644972337,506138.5638976522,8839.164521775137,15289.423382456498,176.67844522968198,142.86584622882907
482000,30000,0.4,[60.29952024],9.668916563018794,4.225768087077463,60,181680.26221130852,201553.0102614763,506122.9224518705,8821.38904261398,15258.64163923808,176.67844522968198,142.85193877922742
483000,30000,0.4,[59.95698423],9.60841020440894,4.204684872265329,60,181763.27268728067,201436.97818977933,506081.51459592045,8772.299952652278,15173.658299059301,176.67844522968198,142.79136422662435
484000,30000,0.4,[59.57972109],9.541506379571452,4.1809385651717275,60,181848.41488504026,201316.6412201486,506035.33396247355,8718.625446384123,15080.741135163222,176.67844522968198,142.73529565353618
500000,40000,0.4,[25.58053506],4.654266812668029,2.1201413427561704,60,187822.1072126605,193025.98257211465,501655.9488946585,4300.987184108762,7434.08379369976,176.67844522968198,140.0560224089636
400000,40000,0.4,[52.80961333],9.942583280945895,4.378740135453478,60,181908.31584517716,201437.78813906622,505712.66955554596,8632.184325362541,14923.83270263488,176.67844522968198,142.78257568954012
350000,40000,0.4,[70.57450384],13.370155557108006,5.851726475673545,60,179083.41871971256,206554.32092139078,507317.15020419506,11205.227724953875,19374.749889683175,176.3114875873585,144.0675037239291
400000,40000,0.4,[52.80961333],9.942583280945895,4.378740135453478,60,181908.31584517716,201437.78813906622,505712.66955554596,8632.184325362541,14923.83270263488,176.67844522968198,142.78257568954012
360000,40000,0.4,[67.22330475],12.67904396877266,5.573859832404203,60,179659.80056011648,205606.98109931254,506950.30020944396,10718.115231538042,18531.978985807462,176.33653203250807,143.84729115068413
370000,40000,0.4,[61.91810456],11.812398100233942,5.133976040263704,60,180541.4338326247,204310.0145652812,506292.6079169493,10009.586051120938,17306.232065243505,176.3308995534132,143.54575742539168
380000,40000,0.4,[59.51615929],11.27408097674153,4.934817336401496,60,180654.52121076087,203414.4132536393,506513.78550427797,9638.704736788748,16664.84681640512,176.6255253599072,143.34480725709827
390000,40000,0.4,[56.09963863],10.496020362680484,4.651534516958975,60,181220.43250388507,202409.95921124727,506143.7353679695,9104.707987717311,15741.117065956256,176.67844522968198,143.16796148440457
400000,40000,0.4,[52.80961333],9.942583280945895,4.378740135453478,60,181908.31584517716,201437.78813906622,505712.66955554596,8632.184325362541,14923.83270263488,176.67844522968198,142.78257568954012
395000,40000,0.4,[53.90416499],10.125527599771303,4.469495529255525,60,181670.86316861762,201771.39703372464,505855.95034619275,8790.348936909899,15197.390933693101,176.67844522968198,142.9242127696428
400000,40000,0.4,[52.80961333],9.942583280945895,4.378740135453478,60,181908.31584517716,201437.78813906622,505712.66955554596,8632.184325362541,14923.83270263488,176.67844522968198,142.78257568954012
