power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,dischargeeffi
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.6,[4171.32399312],54.22596906728683,64.62199992721736,100,55938.896428195454,0.0,888072.5867091673,93330.69353781585,124975.11266076448,184.26041704574294,0.0,0.7745966692414833,0.7745966692414834
700000,5000,0.6,[3829.22835866],48.517278319703195,55.798148499152155,100,62364.74943766922,0.0,877098.1893519926,87280.91643483451,116765.68816551517,183.80851277190988,0.0,0.7745966692414833,0.7745966692414834
900000,5000,0.6,[3530.68864227],43.09779252044814,48.73558463829302,100,68090.29640825359,0.0,866810.9987706193,81059.5812120723,108413.22867654513,184.4043718047012,0.0,0.7745966692414833,0.7745966692414834
1100000,5000,0.6,[3176.00748668],38.00029729689152,41.991842903314655,100,74988.78992089686,0.0,854640.1801318498,73883.1613166821,98770.47224664195,184.73935381109976,0.0,0.7745966692414833,0.7745966692414834
1300000,5000,0.6,[2774.44298354],31.888465189244243,34.98195044743717,100,83547.73284110837,0.0,839542.7439530322,64913.46739582719,86757.88211145796,185.23660841185992,0.0,0.7745966692414833,0.7745966692414834
1500000,5000,0.6,[2296.03188232],25.820144412500923,27.54686823963491,100,94135.6065976175,0.0,821222.5530551912,54271.67548932223,72525.35844272382,185.3021272643607,0.0,0.7745966692414833,0.7745966692414834
1700000,5000,0.6,[1852.09767184],20.484625788005346,21.221590830919638,100,104339.25360471246,0.0,803590.433445396,44019.610348199996,58830.07279596058,185.36096275077745,0.0,0.7745966692414833,0.7745966692414834
1900000,5000,0.6,[1288.00199977],13.993530226823978,14.785164289456155,100,115618.31703272805,0.0,783160.0136301705,31507.409615643905,42049.553607067144,186.8746397161049,0.0,0.7745966692414833,0.7745966692414834
2100000,5000,0.6,[632.07726848],7.057652208896373,7.400379506641372,100,128596.43587457284,0.0,759110.2218179379,16245.879115939526,21651.94190867558,189.75332068311195,0.0,0.7745966692414833,0.7745966692414834
2000000,5000,0.6,[991.21914981],10.841912642053686,11.487758945386076,100,121200.81254160321,0.0,772676.1087520623,24767.737364234832,33032.41055734954,188.32391713747646,0.0,0.7745966692414833,0.7745966692414834
2100000,5000,0.6,[632.07726848],7.057652208896373,7.400379506641372,100,128596.43587457284,0.0,759110.2218179379,16245.879115939526,21651.94190867558,189.75332068311195,0.0,0.7745966692414833,0.7745966692414834
2050000,5000,0.6,[771.53847608],8.573936716894153,9.017310869640967,100,125652.74259064191,0.0,764521.3174926242,19660.801586120386,26208.37115335297,189.15319985521631,0.0,0.7745966692414833,0.7745966692414834
2100000,5000,0.6,[632.07726848],7.057652208896373,7.400379506641372,100,128596.43587457284,0.0,759110.2218179379,16245.879115939526,21651.94190867558,189.75332068311195,0.0,0.7745966692414833,0.7745966692414834
2060000,5000,0.6,[745.0816663],8.306400137538745,8.705076323854765,100,126390.91169298539,0.0,763327.0844677504,19030.347774116388,25366.758135111108,189.0164051265947,0.0,0.7745966692414833,0.7745966692414834
2070000,5000,0.6,[720.47710082],8.037350105134294,8.423682222618211,100,126838.55967815251,0.0,762447.2368604743,18432.426220090187,24568.829703161653,189.20726813508634,0.0,0.7745966692414833,0.7745966692414834
2080000,5000,0.6,[712.35198712],7.938230084461689,8.333333333333343,100,126896.82226244343,0.0,762240.793622916,18227.23076785962,24295.10574885332,189.39393939393938,0.0,0.7745966692414833,0.7745966692414834
2090000,5000,0.6,[664.39335458],7.4025277417687105,7.779886148007591,100,127801.75644411423,0.0,760478.7144772923,17040.558546398108,22711.971764492835,189.75332068311195,0.0,0.7745966692414833,0.7745966692414834
2085000,5000,0.6,[688.67661439],7.6740625564083444,8.059999401658345,100,127345.88933367445,0.0,761369.331386248,17642.483266177635,23514.97639345204,189.56701154297247,0.0,0.7745966692414833,0.7745966692414834
2090000,5000,0.6,[664.39335458],7.4025277417687105,7.779886148007591,100,127801.75644411423,0.0,760478.7144772923,17040.558546398108,22711.971764492835,189.75332068311195,0.0,0.7745966692414833,0.7745966692414834
2086000,5000,0.6,[688.67661439],7.6740625564083444,8.059999401658345,100,127345.88933367445,0.0,761369.331386248,17642.483266177635,23514.97639345204,189.56701154297247,0.0,0.7745966692414833,0.7745966692414834
2087000,5000,0.6,[688.67661439],7.6740625564083444,8.059999401658345,100,127345.88933367445,0.0,761369.331386248,17642.483266177635,23514.97639345204,189.56701154297247,0.0,0.7745966692414833,0.7745966692414834
2088000,5000,0.6,[688.67661439],7.6740625564083444,8.059999401658345,100,127345.88933367445,0.0,761369.331386248,17642.483266177635,23514.97639345204,189.56701154297247,0.0,0.7745966692414833,0.7745966692414834
2089000,5000,0.6,[679.37266285],7.585174401673697,7.946488099976375,100,127691.73158892614,0.0,760862.365351346,17419.324348194787,23217.31229581826,189.41051831280583,0.0,0.7745966692414833,0.7745966692414834
500000,10000,0.6,[2455.66166069],63.9993477200614,53.985794524587085,100,58727.02829401113,0.0,875115.7669014371,80946.16367462913,107505.46526825502,196.64190374108085,0.0,0.7745966692414833,0.7745966692414834
700000,10000,0.6,[2132.77451268],52.215799614643544,44.31599229287091,100,70572.8085235922,0.0,856748.3816706763,72028.73290222668,95546.43958173819,192.67822736030828,0.0,0.7745966692414833,0.7745966692414834
900000,10000,0.6,[1822.28519988],43.26375711574951,36.24288425047438,100,81659.44208199291,0.0,839250.5433245351,63182.87290851944,83728.36801962732,189.75332068311195,0.0,0.7745966692414833,0.7745966692414834
1100000,10000,0.6,[1486.84679241],35.029810256238676,28.199945745272267,100,91290.17238422787,0.0,822355.005546651,53008.05348460184,70219.69111040876,190.4510722937076,0.0,0.7745966692414833,0.7745966692414834
1300000,10000,0.6,[1397.47699934],26.553672316384194,21.680220687602898,100,101369.28300886268,0.0,806495.4566344689,44599.26689697538,59228.76478298073,188.32391713747646,0.0,0.7745966692414833,0.7745966692414834
1500000,10000,0.6,[1020.21263993],18.5232043380433,15.17526800945272,100,113362.36399948368,0.0,786024.9227819211,32758.31079440292,43490.192874793385,188.1320703778465,0.0,0.7745966692414833,0.7745966692414834
1700000,10000,0.6,[530.90198214],10.331506012884947,8.246651356982273,100,126549.90861058616,0.0,762556.8474507402,18433.742363092188,24431.165025770795,189.57303438640025,0.0,0.7745966692414833,0.7745966692414834
1900000,10000,0.6,[51.63346303],1.043733105937471,0.820384764695579,100,141058.22451388408,0.0,736288.2355347552,1898.3294975618276,2513.403174877042,192.20855665756667,0.0,0.7745966692414833,0.7745966692414834
